Identifiant,Titre,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Cafetiere,Cles remises par l'hote,Couloir large,Cuisiniere,Depot des bagages autorise,Draps,Eau chaude,Entree large,Entree privee,Equipements de baes,Four,Lave-vaisselle,Lit-parapluie,Livres et jouets pour enfants,Oreillers et couvertures supplementaires,Refrigerateur,Sejour longue duree autorise,Ustensiles de cuisine de base,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible,id,prefixe,code,created,updated
"4444593",Appartement de charme Aix,122,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,X,X,X,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,"0",13001000AS,"000",AS,1999/12/02,2018/12/06
"9131876",APPARTEMENT NEUF AVEC PARKING,94,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,,X,X,X,X,X,,,,,,X,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,4,,,"0",13001000CK,"000",CK,1999/12/14,2018/12/06
"12119469",La Bastide d'Annick,102,AIX EN PROVENCE,13,Bed & Breakfast,2,Chambre privee,3,1,1,0,,,,,,,X,,,,X,X,X,X,,X,,,,,,,,X,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000RD,"000",RD,2018/12/04,2018/12/07
"13684130",Maisonnette dans la campagne Aixoise,133,AIX EN PROVENCE,13,Maison,3,Logement entier,4,15,2,0,,X,,X,X,,,,X,,X,X,,X,,X,,,,,,,,X,,,,X,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000SR,"000",SR,2018/12/04,2018/12/07
"13889646",1 min centre ville,80,AIX EN PROVENCE,13,Appartement,3,Logement entier,8,1,3,0,,X,X,X,,,,,X,,X,X,,,,X,,,,,X,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000AY,"000",AY,1999/12/17,2018/12/06
"81654",COURS MIRABEAU - SPACIOUS APARTMENT,59,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,X,,X,X,,X,X,X,,X,,,X,X,,X,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,4,,,"0",13001000AI,"000",AI,1999/12/01,2018/12/06
"493342",T2 Centre historique Immeuble 18eme,74,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,Vrai lit,X,X,X,X,,X,,X,,,X,,,X,X,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000AT,"000",AT,1999/12/02,2018/12/06
"593039",B&B,45,AIX EN PROVENCE,13,Bed & Breakfast,2,Chambre privee,2,1,1,0,Vrai lit,,X,,X,,X,,,,X,X,,X,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,1,Chien(s),,"0",13001000ML,"000",ML,2000/02/09,2018/12/06
"929071",La Villa Margot,135,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000BY,"000",BY,1999/12/10,2018/12/06
"933651",chambre MIDI,75,AIX EN PROVENCE,13,Bed & Breakfast,2,Chambre privee,2,1,1,0,Vrai lit,,,,,,X,,,,X,X,,X,,X,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000IY,"000",IY,2000/01/13,2018/12/06
"938928",Chambre dans Villa Aix les Milles,60,AIX EN PROVENCE,13,Villa,2,Chambre privee,2,0,1,0,Vrai lit,,,X,X,,X,,,,X,X,,,,,,,,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000IY,"000",IY,2000/01/13,2018/12/06
"950279",T4 TOUT CONFORT AVEC JARDIN PRIVE,70,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,,X,X,X,X,,,,X,,,,,,X,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000BP,"000",BP,1999/12/06,2018/12/06
"972230",Pied-a-terre a Aix-en-Provence,35,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,X,,X,X,,X,,X,X,,X,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000AP,"000",AP,1999/12/02,2018/12/06
